userID,username,email,firstname,lastname,gameID,playerID
1,tdobel8f,tdobel8f@businessweek.com,Tilda,Dobel,40,8
2,ekiloh8e,ekiloh8e@symantec.com,Edlin,Kiloh,47,8
3,vdolden8d,vdolden8d@surveymonkey.com,Vilma,Dolden,39,2
4,erance8c,erance8c@sun.com,Euphemia,Rance,6,2
5,bmetcalf8b,bmetcalf8b@purevolume.com,Brok,Metcalf,15,7
6,ndeane8a,ndeane8a@pcworld.com,Nathanael,Deane,92,3
7,mtrinkwon89,mtrinkwon89@quantcast.com,Milissent,Trinkwon,90,4
8,smcgaughay88,smcgaughay88@techcrunch.com,Sharity,McGaughay,1,5
9,rself87,rself87@creativecommons.org,Rycca,Self,23,5
10,jfinnick86,jfinnick86@photobucket.com,Joell,Finnick,94,10
